reference_config_id,variant_config_id,category,scenario_count,mean_top10_overlap_count,mean_top10_jaccard,mean_absolute_rank_change_common,top1_changed_count
current_cosine,current_euclidean,all_history,17,4.235294117647059,0.2795459058434837,3.2738095238095237,14
current_cosine,current_euclidean,coherent_multi_track_history,9,3.7777777777777777,0.23915862641352836,3.938888888888889,8
current_cosine,current_euclidean,single_track_history,4,5.5,0.38759157509157505,2.2928571428571427,4
current_cosine,current_euclidean,transition_conflicting_history,4,4,0.2623716153127918,2.7583333333333333,2
current_cosine,equal_cosine,all_history,17,7.647058823529412,0.6357123268887974,1.828921568627451,10
current_cosine,equal_cosine,coherent_multi_track_history,9,7.333333333333333,0.5837865837865838,2.049382716049383,3
current_cosine,equal_cosine,single_track_history,4,7.25,0.6003787878787878,1.5972222222222223,3
current_cosine,equal_cosine,transition_conflicting_history,4,8.75,0.7878787878787878,1.5645833333333332,4
current_cosine,literature_cosine,all_history,17,5.9411764705882355,0.43577385705413385,2.179271708683473,10
current_cosine,literature_cosine,coherent_multi_track_history,9,5.555555555555555,0.3891941391941392,2.2862433862433864,4
current_cosine,literature_cosine,single_track_history,4,5.75,0.4287330316742081,2.2845238095238094,3
current_cosine,literature_cosine,transition_conflicting_history,4,7,0.5476190476190476,1.8333333333333333,3
current_euclidean,equal_euclidean,all_history,17,7.235294117647059,0.5847828641946289,1.8792717086834734,8
current_euclidean,equal_euclidean,coherent_multi_track_history,9,6.555555555555555,0.49623524623524623,2.007936507936508,6
current_euclidean,equal_euclidean,single_track_history,4,7.75,0.6584249084249084,2.0880952380952382,0
current_euclidean,equal_euclidean,transition_conflicting_history,4,8.25,0.7103729603729604,1.380952380952381,2
current_euclidean,literature_euclidean,all_history,17,5.588235294117647,0.4011548812586875,2.3971988795518206,8
current_euclidean,literature_euclidean,coherent_multi_track_history,9,5.444444444444445,0.3860099595393713,2.7185185185185183,5
current_euclidean,literature_euclidean,single_track_history,4,5,0.35286935286935284,1.7678571428571428,1
current_euclidean,literature_euclidean,transition_conflicting_history,4,6.5,0.48351648351648346,2.3035714285714284,2
equal_cosine,equal_euclidean,all_history,17,5.352941176470588,0.381509013861955,2.886344537815126,10
equal_cosine,equal_euclidean,coherent_multi_track_history,9,5,0.34466151132817796,3.4066137566137566,5
equal_cosine,equal_euclidean,single_track_history,4,6.25,0.4709249084249084,2.5520833333333335,3
equal_cosine,equal_euclidean,transition_conflicting_history,4,5.25,0.375,2.05,2
literature_cosine,literature_euclidean,all_history,17,4.764705882352941,0.3293789771207363,3.089075630252101,11
literature_cosine,literature_euclidean,coherent_multi_track_history,9,4.222222222222222,0.28214137656862115,3.6973544973544974,7
literature_cosine,literature_euclidean,single_track_history,4,6.25,0.46794871794871795,2.830357142857143,3
literature_cosine,literature_euclidean,transition_conflicting_history,4,4.5,0.297093837535014,1.9791666666666667,1
