scenario_id,category,config_id,top10_score_mean,top10_score_median,top10_score_sd,top1_top10_score_gap,candidate_score_mean,candidate_score_median,candidate_score_sd,candidate_score_p10,candidate_score_p90,candidate_score_p90_p10_gap,candidate_fraction_at_least_095,fixed_reference_history_match,artist_hhi,artist_max_share,genre_hhi,genre_max_share,latency_median_ms
single_happy_anchor,single_track_history,current_cosine,0.9943112615892813,0.9940175973881085,0.002059311114229984,0.006840116507333072,0.884760586625983,0.9147456530982344,0.09907756455802477,0.7670383961323548,0.9779815697844342,0.21094317365207937,0.29,0.8986029439755143,0.10000000000000002,0.1,0.12000000000000002,0.2,3.7939000176265836
single_happy_anchor,single_track_history,current_euclidean,0.9152924800860802,0.9065363052007613,0.015719947680505903,0.04897808626139322,0.7003368541546764,0.7099185327970072,0.11222574523213487,0.5580979579532861,0.8444998843900426,0.28640192643675655,0.0,0.9054307622538331,0.10000000000000002,0.1,0.135,0.25,2.6433999883010983
single_happy_anchor,single_track_history,equal_cosine,0.9896005215375488,0.9886293688821215,0.002879488289929667,0.008298882673044905,0.8809209724608835,0.9062590081280584,0.09132551101513148,0.7742804959608218,0.966860505866927,0.19258000990610513,0.194,0.9010970947358482,0.10000000000000002,0.1,0.135,0.25,3.7302999990060925
single_happy_anchor,single_track_history,equal_euclidean,0.9054307622538331,0.8988773075490157,0.012641658844783785,0.035373425564165784,0.7316351889504319,0.742913612290889,0.09201689066288718,0.6169578404508174,0.843775629960455,0.2268177895096376,0.0,0.9054307622538331,0.10000000000000002,0.1,0.135,0.25,2.390999987255782
single_happy_anchor,single_track_history,literature_cosine,0.9924806509207222,0.9917639778848731,0.0023786788116923582,0.00694582878979999,0.9023829809482338,0.9225024532142293,0.08607287887205195,0.8239748758277383,0.9745514846771025,0.1505766088493642,0.292,0.9010975685860632,0.10000000000000002,0.1,0.135,0.25,3.6368999863043427
single_happy_anchor,single_track_history,literature_euclidean,0.9272307023998368,0.920662901218235,0.01466053237164668,0.04042515303108596,0.7822287191446108,0.7946289545672223,0.0845472140788323,0.6943335190801364,0.8750365476655259,0.18070302858538945,0.004,0.9033908546215562,0.10000000000000002,0.1,0.10500000000000001,0.15,2.613400050904602
single_happy_anchor,single_track_history,without_energy_cosine,0.9941625211713809,0.9940309097938442,0.0013908124187768395,0.004669661716638962,0.86607573855227,0.9054340798435436,0.11671179082654191,0.7075120470060616,0.9778909773573234,0.2703789303512618,0.254,0.891044745542915,0.10000000000000002,0.1,0.12000000000000002,0.2,3.8376000011339784
single_happy_anchor,single_track_history,without_valence_cosine,0.9951004900410572,0.9949809761195623,0.0015739386194494765,0.004244927905873053,0.916031816992317,0.9349026050304139,0.07747348449860017,0.838270223261512,0.9812093082297819,0.1429390849682699,0.334,0.8722254673301824,0.10000000000000002,0.1,0.16,0.3,5.0134999910369515
single_happy_anchor,single_track_history,without_energy_valence_cosine,0.9933492562849325,0.9924184853884828,0.0022133536533741394,0.007563138232379862,0.8958866765281526,0.9029162726441928,0.07617002637793413,0.7960846616178117,0.9810687561716076,0.18498409455379594,0.286,0.8252092731836811,0.10000000000000002,0.1,0.09500000000000001,0.1,3.956400032620877
single_energetic_anchor,single_track_history,current_cosine,0.9846096596919556,0.9842151483857973,0.0011348802123809574,0.003436172989711883,0.8863506826450518,0.929562119908822,0.11915591797694586,0.733796875075628,0.9723904571406319,0.23859358206500392,0.318,0.8444591113599537,0.10000000000000002,0.1,0.08333333333333334,0.12,4.0154000162146986
single_energetic_anchor,single_track_history,current_euclidean,0.8738583623551416,0.8717799521449735,0.00842844402419494,0.026647903101670978,0.7075752333455978,0.7336307850991552,0.11252091243127091,0.5425245746016382,0.8251894262807594,0.28266485167912125,0.0,0.8502238719579698,0.10000000000000002,0.1,0.09000000000000001,0.12,2.82689998857677
single_energetic_anchor,single_track_history,equal_cosine,0.9772971531370123,0.9746846243367765,0.004951311796425183,0.016357217041861216,0.862642046904061,0.9127522134446312,0.12772577944052432,0.7003052440215417,0.9566603168327479,0.2563550728112062,0.16,0.8570462066634299,0.10000000000000002,0.1,0.11333333333333336,0.2,3.7911999970674515
single_energetic_anchor,single_track_history,equal_euclidean,0.8619665909999967,0.8566732779101455,0.018504490712116555,0.06255102577885585,0.7019626081288609,0.7324707791082168,0.10909195587075307,0.5533707053637251,0.8083697794254301,0.25499907406170497,0.0,0.8619665909999967,0.10000000000000002,0.1,0.10000000000000002,0.12,4.011200042441487
single_energetic_anchor,single_track_history,literature_cosine,0.9787834593598184,0.9771255849322033,0.004433485108590014,0.014038691440306894,0.8518547150542702,0.8782572911860848,0.09980404595243528,0.7496421471819927,0.9342686614650021,0.18462651428300936,0.058,0.8515968730747958,0.10000000000000002,0.1,0.13333333333333336,0.2,4.755699948873371
single_energetic_anchor,single_track_history,literature_euclidean,0.8614404093774183,0.8584650390162935,0.018026140603155435,0.06264435931419687,0.6769441023681548,0.6900142604695598,0.08127968863405877,0.5776167440619593,0.7683690997223452,0.19075235566038595,0.0,0.8441304704466484,0.10000000000000002,0.1,0.155,0.3,3.8136999937705696
single_energetic_anchor,single_track_history,without_energy_cosine,0.9814534178391281,0.9818845156123339,0.004420483647337387,0.013453701912804261,0.8673096276915502,0.9019471450553906,0.11458527198058202,0.7377308654694236,0.960849944423021,0.2231190789535974,0.17,0.839292553082351,0.10000000000000002,0.1,0.10833333333333335,0.2,5.145900009665638
single_energetic_anchor,single_track_history,without_valence_cosine,0.9884265637473298,0.9873674597360607,0.0023923567306684316,0.00769315543502358,0.8927934988887194,0.9463801251827859,0.13007361024289998,0.7183770061125837,0.9800465357409551,0.2616695296283714,0.472,0.8306836385336904,0.10000000000000002,0.1,0.08600000000000001,0.12,4.833999963011593
single_energetic_anchor,single_track_history,without_energy_valence_cosine,0.9856310726928414,0.984383127010355,0.005088404876085057,0.01627315697166254,0.8669388605279134,0.9130551744826868,0.12437879567177525,0.7104863140649199,0.9674310194867781,0.2569447054218582,0.252,0.8371338279752001,0.10000000000000002,0.1,0.12833333333333335,0.2,4.913699987810105
single_calm_anchor,single_track_history,current_cosine,0.9809663121481138,0.9799631302830767,0.006316235015861517,0.019986083996295423,0.7849316817992533,0.795176161101423,0.11434355786882687,0.6265502045749817,0.9293598750868286,0.30280967051184693,0.06,0.8698589509618028,0.10000000000000002,0.1,0.13000000000000003,0.2,3.7618999485857785
single_calm_anchor,single_track_history,current_euclidean,0.8984485797636789,0.8954510809138629,0.013431581719953279,0.043008982733822365,0.6541453072641671,0.6425712819776213,0.1113207842953893,0.5229084914422765,0.8252615597518295,0.302353068309553,0.0,0.8961034588317875,0.10000000000000002,0.1,0.10000000000000002,0.15,2.4840999976731837
single_calm_anchor,single_track_history,equal_cosine,0.983603173989378,0.9821844176756607,0.003715855387784173,0.010814121442586755,0.7805677924046748,0.7812365735932929,0.11963836821482456,0.6259204422604423,0.9381123181820724,0.3121918759216301,0.078,0.8646572758112789,0.10000000000000002,0.1,0.13000000000000003,0.2,4.077000019606203
