config_id,category,scenario_count,mean_top10_score_mean,mean_top10_score_median,mean_top10_score_sd,mean_top1_top10_score_gap,mean_candidate_score_mean,mean_candidate_score_median,mean_candidate_score_sd,mean_candidate_score_p10,mean_candidate_score_p90,mean_candidate_score_p90_p10_gap,mean_candidate_fraction_at_least_095,mean_fixed_reference_history_match,mean_artist_hhi,mean_artist_max_share,mean_genre_hhi,mean_genre_max_share,mean_latency_median_ms,mean_top10_overlap_count,mean_top10_jaccard,mean_mean_absolute_rank_change_common,mean_top1_changed
current_cosine,all_history,17,0.9915070975783854,0.9910637993093804,0.002054131768184578,0.006576931195556194,0.8865886716518224,0.9174794895872007,0.10433386970783226,0.7654002625694478,0.9745220288964012,0.2091217663269533,0.34541176470588236,0.8900624713247837,0.10117647058823531,0.10588235294117648,0.10516666666666669,0.16588235294117648,3.9528117631562054,10,1.0,0,0
current_cosine,coherent_multi_track_history,9,0.9945436993428125,0.9943357738795597,0.001338107426907479,0.004380080527783455,0.9012765449447846,0.9397674041502793,0.1122700670864568,0.7747997463060827,0.9835577741645674,0.2087580278584846,0.4315555555555555,0.9043709201007224,0.10222222222222224,0.11111111111111112,0.08901851851851854,0.1388888888888889,3.9345666623881295,10,1.0,0,0
current_cosine,single_track_history,4,0.9850233952431782,0.9841575141038893,0.003823114680763129,0.012190798093313415,0.8393429510562216,0.8586466129863128,0.10625628719896871,0.7040032804497086,0.9537529477634831,0.24974966731377446,0.1835,0.8761928819192557,0.10000000000000002,0.1,0.12041666666666669,0.1925,3.904900004272349,10,1.0,0,0
current_cosine,transition_conflicting_history,4,0.9911584459436316,0.9906081417319677,0.0018962036234794982,0.005905978300287634,0.9007866773382586,0.9261645584211621,0.0845550081147906,0.8056484062817586,0.9749606831759453,0.16931227689418676,0.3135,0.8717380509844493,0.10000000000000002,0.1,0.12625000000000003,0.2,4.041774998768233,10,1.0,0,0
current_euclidean,all_history,17,0.9145806518724058,0.9130790483801919,0.010324000599214955,0.03328845574536095,0.7419798991216349,0.7496972673985042,0.09617795471988545,0.616923774838589,0.8599711673877055,0.24304739254911656,0.0,0.909682587917978,0.10000000000000002,0.1,0.09818137254901962,0.14529411764705882,2.712082343778628,4.235294117647059,0.2795459058434837,3.2738095238095237,0.8235294117647058
current_euclidean,coherent_multi_track_history,9,0.9236884669748066,0.9233084491914518,0.008097200219636148,0.02529738958070038,0.7662595345909491,0.7791204977612937,0.09664993878176245,0.638067706970311,0.8763564598876354,0.23828875291732446,0.0,0.922625234374626,0.10000000000000002,0.1,0.09152777777777779,0.13333333333333333,2.6775222051785224,3.7777777777777777,0.23915862641352836,3.938888888888889,0.8888888888888888
current_euclidean,single_track_history,4,0.8976019550984051,0.8933825182584264,0.01170085710949622,0.03741374307659451,0.6802402937945033,0.6808564981308176,0.11181544967320413,0.5372621182278658,0.831326385455509,0.29406426722764306,0.0,0.887830328186926,0.10000000000000002,0.1,0.10833333333333335,0.18,2.591750002466142,5.5,0.38759157509157505,2.2928571428571427,1
current_euclidean,transition_conflicting_history,4,0.9110667646660047,0.9097594266766228,0.013957444942986008,0.04714306728461368,0.7490903246428096,0.7523357683499142,0.0794784956273435,0.6490115841529374,0.8517490411950596,0.20273745704212223,0.0,0.9024138931215719,0.10000000000000002,0.1,0.10300000000000001,0.1375,2.9101749969413504,4,0.2623716153127918,2.7583333333333333,0.5
equal_cosine,all_history,17,0.9892305282791298,0.9886443940207696,0.002687952917544161,0.008455141561171579,0.8783792108104175,0.9108512894556745,0.11001921562486106,0.7486719105794654,0.9714148262003525,0.2227429156208871,0.30211764705882355,0.8959560840222679,0.10117647058823531,0.10588235294117648,0.104921568627451,0.16764705882352943,4.054129407878088,7.647058823529412,0.6357123268887974,1.828921568627451,0.5882352941176471
equal_cosine,coherent_multi_track_history,9,0.9933178712921668,0.9930435918724594,0.0017374505915636433,0.005742715280730547,0.8905390505069052,0.9352214712772965,0.12308040295624124,0.7449942902854798,0.9816154191813419,0.23662112889586207,0.4033333333333333,0.9110466495445297,0.10222222222222224,0.11111111111111112,0.08744444444444446,0.12777777777777777,4.130666661593649,7.333333333333333,0.5837865837865838,2.049382716049383,0.3333333333333333
equal_cosine,single_track_history,4,0.9834132384974924,0.9824821775732042,0.003943000331399053,0.011930367600547248,0.8351561947472558,0.8524162887973646,0.10930379627422797,0.6987262225646753,0.95286555658909,0.25413933402441474,0.1325,0.8794698288090109,0.10000000000000002,0.1,0.12666666666666668,0.21250000000000002,3.898175011272542,7.25,0.6003787878787878,1.5972222222222223,0.75
