algorithm,category,run_count,scenario_count,catalogue_coverage,mean_history_match,sd_history_match,mean_mood_match,sd_mood_match,mean_intra_list_diversity,sd_intra_list_diversity,mean_distinct_artist_fraction,sd_distinct_artist_fraction,mean_processing_ms,sd_processing_ms
cbf,coherent_multi_track_history,9,9,0.074,0.903682,0.010186,,,0.117602,0.019569,0.988889,0.031427,33.678222,2.490924
cbf,single_track_history,4,4,0.074,0.876193,0.021181,,,0.125857,0.012477,1.0,0.0,34.608,8.662518
cbf,transition_conflicting_history,4,4,0.042,0.861646,0.018771,0.716463,0.073493,0.125536,0.00603,1.0,0.0,34.38375,3.651214
context_mmr,coherent_multi_track_history,9,9,0.07,0.905474,0.009918,,,0.11619,0.016884,0.988889,0.031427,146.248,2.570233
context_mmr,mood_only,4,4,0.07,,,0.953568,0.021331,0.229248,0.030453,1.0,0.0,139.74475,3.252045
context_mmr,single_track_history,4,4,0.076,0.876336,0.021805,,,0.131985,0.01429,1.0,0.0,141.71625,2.490111
context_mmr,transition_conflicting_history,4,4,0.076,0.818372,0.003973,0.940557,0.028459,0.172626,0.012107,1.0,0.0,146.6495,4.017288
