algorithm,category,run_count,scenario_count,catalogue_coverage,mean_history_match,sd_history_match,mean_mood_match,sd_mood_match,mean_intra_list_diversity,sd_intra_list_diversity,mean_distinct_artist_fraction,sd_distinct_artist_fraction,mean_processing_ms,sd_processing_ms
cbf,coherent_multi_track_history,9,9,0.076,0.910445,0.010379,,,0.108688,0.015873,0.988889,0.031427,34.696556,4.958427
cbf,single_track_history,4,4,0.074,0.87947,0.018932,,,0.127425,0.02442,1.0,0.0,37.54075,3.053039
cbf,transition_conflicting_history,4,4,0.048,0.866797,0.020331,0.709755,0.062736,0.1185,0.007393,1.0,0.0,34.3755,2.174238
context_mmr,coherent_multi_track_history,9,9,0.076,0.909956,0.009438,,,0.109612,0.014456,0.988889,0.031427,152.022,6.984064
context_mmr,mood_only,4,4,0.07,,,0.953093,0.021202,0.240671,0.026445,1.0,0.0,142.837,6.767094
context_mmr,single_track_history,4,4,0.078,0.879049,0.020176,,,0.133919,0.021273,1.0,0.0,153.075,6.022216
context_mmr,transition_conflicting_history,4,4,0.074,0.827948,0.002015,0.931666,0.030818,0.169728,0.027448,1.0,0.0,150.07675,1.438846
