method,run_count,scenario_count,pool_coverage,mean_history_match,sd_history_match,mean_mood_match,sd_mood_match,mean_intra_list_diversity,sd_intra_list_diversity,mean_artist_diversity,sd_artist_diversity,mean_artist_metadata_coverage,sd_artist_metadata_coverage,mean_mean_relevance,sd_mean_relevance,mean_processing_ms,sd_processing_ms,category
cbf,8,8,0.078,0.8603566490316523,0.031024856714402055,0.6635240954662357,0.20632032976793066,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,28.344875000000002,0.5559166838430014,all
cbf,4,4,0.078,0.8603566490316523,0.031024856714402055,0.8631734667966042,0.05790929913401431,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,28.692999999999998,0.12174358299310824,coherent_history
cbf,4,4,0.078,0.8603566490316523,0.031024856714402055,0.46387472413586717,0.0454194570606012,0.12965181863583883,0.01741511440125736,1.0,0.0,0.125,0.12990381056766578,0.9854425,0.007766016916669674,27.99675,0.6007355387356403,mood_transition
context_mmr,12,12,0.17,0.786435424311716,0.0809627466458365,0.8995608446757326,0.0656033856104817,0.2147017484752548,0.05920912218498707,1.0,0.0,0.11666666666666667,0.055277079839256664,0.9260166666666667,0.04500997136437906,38.724333333333334,4.743542757147752,all
context_mmr,4,4,0.076,0.8590584056556576,0.021054694472212452,0.9358693668522178,0.03203055989614838,0.17680161433119151,0.026924992621357106,1.0,0.0,0.125,0.04330127018922193,0.9608775,0.019076719286869038,38.809,0.4004129118797238,coherent_history
context_mmr,4,4,0.076,,,0.9487020492780678,0.020816013693054046,0.26225980567782015,0.03283011816615649,1.0,0.0,0.15000000000000002,0.05,0.948705,0.020820257563248346,38.932,8.07255436649392,mood_only
context_mmr,4,4,0.066,0.7138124429677742,0.046026489014399014,0.8141111178969123,0.020428578960822875,0.20504382541675278,0.070163552592937,1.0,0.0,0.07500000000000001,0.04330127018922193,0.8684675,0.015438376493336365,38.432,1.4287674758336295,mood_transition
context_no_mmr,12,12,0.17,0.7910184159279807,0.08342939363803445,0.9019649520165859,0.06076846031268705,0.1936009116602843,0.0603371335274809,1.0,0.0,0.125,0.05951190357119042,0.9265116666666666,0.04481762540811618,36.452416666666664,2.560913621422808,all
context_no_mmr,4,4,0.078,0.8657799437039304,0.02447654108713393,0.9318564182770339,0.03699911229226633,0.14989595307204406,0.0247242142775977,1.0,0.0,0.15000000000000002,0.05,0.9613674999999999,0.018970663371374222,38.08525,0.41137961483281976,coherent_history
context_no_mmr,4,4,0.076,,,0.9488847164122454,0.02094498244143625,0.24898473863741888,0.0307460418142382,1.0,0.0,0.15000000000000002,0.05,0.9488875,0.020948205621245927,32.9275,0.2690329905420521,mood_only
context_no_mmr,4,4,0.064,0.716256888152031,0.046295294698725786,0.8251537213604785,0.01660907900476795,0.18192204327139,0.06520134603958448,1.0,0.0,0.07500000000000001,0.04330127018922193,0.86928,0.015364717699977447,38.3445,0.8729617689223272,mood_transition
random,360,12,0.444,0.6826330288339392,0.03825766695879935,0.654593178060199,0.05688439226712826,0.34450264639005973,0.042392579748519864,1.0,0.0,0.22333333333333333,0.14761059883656352,,,20.775766666666666,1.1540662969594848,all
random,120,4,0.444,0.6826330288339392,0.03825766695879935,0.654593178060199,0.05688439226712826,0.34450264639005973,0.042392579748519864,1.0,0.0,0.22333333333333333,0.14761059883656352,,,21.042016666666665,1.7397990639885845,coherent_history
random,120,4,0.444,,,0.654593178060199,0.05688439226712826,0.34450264639005973,0.042392579748519864,1.0,0.0,0.22333333333333333,0.14761059883656352,,,20.601133333333333,0.55614032901378,mood_only
random,120,4,0.444,0.6826330288339392,0.03825766695879935,0.654593178060199,0.05688439226712826,0.34450264639005973,0.042392579748519864,1.0,0.0,0.22333333333333333,0.14761059883656352,,,20.68415,0.7413735411383389,mood_transition
